Date,Volume,total_volume,HDFCBANK_v,HDFCLIFE_v,LTIM_v,total_volume_new,diff_an,diff_an_new,facto_new
2023-07-14 09:15:00,291165841.0,291165841.10919166,12363607.0,6273380.0,1374038.0,290561701.98919165,-0.11000001430511475,604139.0099999905,481.9517299503712
2023-07-13 09:15:00,310442517.0,310442516.56883633,20956773.0,3997060.0,837160.0,307926592.8888363,0.4300000071525574,2515924.1100000143,123.39104974036687
2023-07-12 09:15:00,290629485.0,326108664.65853256,70958358.0,2912240.0,5055302.0,319810629.3785326,-35479179.660000026,-29181144.379999995,-9.959495803707751
2023-07-11 09:15:00,251263638.0,268565967.925315,50670426.0,5004622.0,537188.0,260995887.76531503,-17302329.930000007,-9732249.77000001,-25.817631476591227
2023-07-10 09:15:00,268246132.0,281930253.65991455,38398442.0,3676990.0,560058.0,276346560.9399146,-13684121.660000026,-8100428.939999998,-33.11505279373515
2023-07-07 09:15:00,237102566.0,245776698.52608487,19926336.0,5425784.0,606865.0,243195349.76608488,-8674132.530000001,-6092783.770000011,-38.91530947929891
2023-07-06 09:15:00,268261285.0,289954735.2665345,52156544.0,4788193.0,415786.0,282025474.2265345,-21693450.26999998,-13764189.23000002,-19.489799254961248
2023-07-05 09:15:00,224418797.0,239686657.6115267,37165754.0,5871642.0,1432005.0,235172141.9715267,-15267860.610000014,-10753344.969999999,-20.869673355229487
2023-07-04 09:15:00,226916635.0,240053011.46752077,38795188.0,3340982.0,384232.0,234230013.3875208,-13136376.469999999,-7313378.389999986,-31.02760761158981
2023-07-03 09:15:00,226050219.0,241455501.57522798,44104116.0,2795761.0,364676.0,234763519.01522797,-15405282.580000013,-8713300.02000001,-25.943123556073733
2023-06-30 09:15:00,247906587.0,261856125.46049172,40699016.0,8681796.0,581634.0,255925916.9004917,-13949538.460000008,-8019329.900000006,-30.91362870605932
2023-06-28 09:15:00,398782019.0,422486533.6590175,59562950.0,21909643.0,700215.0,413656676.6590175,-23704514.660000026,-14874657.660000026,-26.809492232710603
2023-06-27 09:15:00,222464605.0,231904933.599862,33831864.0,30050877.0,771183.0,227263018.359862,-9440328.599999994,-4798413.360000014,-46.362117706341024
2023-06-26 09:15:00,171271325.0,175402424.35279343,16130314.0,3749962.0,234908.0,173056482.11279342,-4131099.349999994,-1785157.1100000143,-95.9418776311507
2023-06-23 09:15:00,210562119.0,218405725.81634846,21339218.0,4159293.0,263039.0,215254489.93634847,-7843606.819999993,-4692370.939999998,-44.87328936531179
2023-06-22 09:15:00,252697871.0,275207045.0506215,56596140.0,4577233.0,248629.0,266400291.6506215,-22509174.050000012,-13702420.650000006,-18.441841588040862
2023-06-21 09:15:00,217481345.0,225484917.75797746,24308946.0,7689046.0,335601.0,221931087.39797747,-8003572.75999999,-4449742.400000006,-48.87504162038677
2023-06-20 09:15:00,211649257.0,216529934.48448437,20005626.0,10400684.0,372934.0,213701968.32448438,-4880677.479999989,-2052711.3199999928,-103.10717095865226
